reading_status,title,author,platform,pairing,status,words,chapters,recommended,link
on list,The Debt of Time ,ShayaLonnie,,Sirius x Mione,,�ber 700k,,,
on list,Fail Safe,,,,,,,,
on list,Osculum Annuum,MyDelphie,,,,,,,
on list,The Journal ,Mezy,,,,,,,
on list,Clean,olivieblake,,,,,,,
on list,Caput Mortuum,Croftisprocrastinating,Ao3,,,,,,
on list,I will Make You Proud,Wheredoesshego,Ao3,Dramione,Completed,"222,295",35,,
on list,The Lady of the Lake,Colubrina,Ao3,,,,,,
on list,These Hollow Vows,HeavenlyDew,,,,,,,
on list,Birth Right,LovesBitca8,Ao3,Lucius x Narzissa,Completed,"28,514",6,,https://archiveofourown.org/works/20053411/chapters/47490103
on list,Virulence,three_piece_suit,Ao3,,,,,,
on list,A Draco Malfoy Crusade: Saving Hermione Granger,Slytherinked,Ao3,,,,,,
on list,The Stars Above us ,embersofapril,Ao3,,,,,,
on list,Tremble & Departe,darkofthemoon,Ao3,,,,,,
on list,Once more with feeling,Wetpretzel,,,,,,,
on list,Oh Mami,Hypothetically,,,,,,,
on list,Weeding of the year,blackphoenix22,,,,,,,
on list,The choices we make,stacygenesis,,,,,,,
on list,Stuck in the middle with you,lilacprestyge,,,,,,,
on list,Reputation,embersofapril,,,,,,,
on list,This bitter end,noctisx,,,,,,,
on list,Things we say in the dark,rubbersoul_02,,,,,,,
on list,Love & other historical accidents,Pacificrimbaud,,,,,,,
on list,Arctic Wolf,sodamnrad,,,,,,,
on list,Four reasons to fall,slytherinbynight,,,,,,,
on list,Until The Ink Runs Dry,AccioMjolnir,,,,,,,
on list,White Rabbit,IndigoHaze,,,,,,,
on list,Backward (Subject Zero),saturovem,,,,,,,
on list,Carpathian,niffizzle,,,,,,,
on list,Brew of a kind,In_Dreams ,,,,,20,,
on list,Sex Ed ,Mrbenzedrine89,,,,,31,,
on list,Thanks to the Photographs,Unstablehufflepuff,,,,,30,,
on list,Fallen Dynasty ,Goldensunflowers98,,,,,,,
on list,Days at Malfoy Manor,Seagull_in_the_dark,,,Completed,"286,842",,,
on list,Syltherin's Princess,skigirl51,,,,,,,
on list,Malfoy Men are not  heros ,Hypothetically,,,,,,,
on list,Season pass to this ass,mightbewriting,,,,,,,
on list,Till death do us part,alwayshv,,,,,,,
on list,Astra inclinant,eleventy7,,,,,,,
on list,This too is Sacred,heartofaspen,,,,,,,
on list,Die einzige Zeugin,wandbreaker,FF.de,Snamione,Completed,"122,080",30,,https://www.fanfiktion.de/s/d/6280024f000b6f852946b035/Die-einzige-Zeugin
